x_1,x_2,Label
4.01867487,1.925445361,0
3.725215039,2.742756069,0
3.466510419,2.417982841,0
3.377803215,3.816345293,0
4.374849643,2.256571574,0
1.5112926,0.218584602,1
1.599752248,2.050336598,1
1.388380918,1.159942483,1
0.58543822,2.206083655,1
2.154461672,3.1550556,0
1.838847667,0.797401736,1
2.27349879,3.289587982,0
3.519890355,2.437222454,0
3.22509654,3.758449625,0
2.508325489,0.739404792,1
1.548505149,2.135826033,1
3.694964385,2.367335923,0
2.807751869,0.16169772,1
0.292422646,0.419590711,1
2.474459573,3.343184753,0
0.508810467,1.04418906,1
0.619630272,2.401256555,1
0.416667002,2.395208858,1
0.954360481,2.593937736,1
4.605011312,2.684796504,0
3.21296245,0.408000606,1
3.505497499,2.117213791,0
2.597644117,1.590335585,1
0.660613264,2.031283581,1
3.25164628,3.652842801,0
4.733247984,3.111388002,0
0.930205583,2.091146009,1
4.972615609,1.338937572,0
2.333863068,1.275445712,1
0.013345281,1.468367284,1
0.725443813,1.12488639,1
2.866543659,0.290311965,1
1.269788354,0.662355727,1
1.98972005,3.434378674,0
4.148668376,2.953639745,0
3.666115893,2.988670477,0
2.571549145,0.967298417,1
4.462875026,2.509701376,0
1.173836085,2.114246164,1
2.875687683,2.870253396,0
2.340644128,3.905232464,0
1.041868822,0.628786278,1
2.322057781,3.059056437,0
1.147018253,0.01327342,1
0.857561723,2.142943332,1
4.938674567,2.120569613,0
1.894654452,1.64975646,1
0.634212435,2.367277921,1
3.52249842,3.174979067,0
0.082200949,1.834098239,1
2.488128043,2.936508786,0
4.115660734,3.571782466,0
0.357895381,2.991472231,1
4.035629996,2.388500288,0
1.897926216,1.818107151,1
4.074184017,1.825576064,0
1.501404245,1.579390979,1
1.795865835,3.858097852,0
4.736065712,2.94744886,0
4.210319807,3.593372948,0
4.462104956,3.677179659,0
2.061099018,3.293347527,0
0.190544404,2.555568466,1
0.093486229,2.368518785,1
4.24004919,2.792013434,0
1.557746463,0.085146645,1
0.163143666,2.135564268,1
2.500349386,0.486588896,1
4.415273801,1.510247476,0
2.348998617,0.407703463,1
4.213698184,2.696542023,0
1.307353709,2.409390265,1
0.955046589,1.250619179,1
0.194557082,1.994453141,1
2.219440661,3.930590497,0
4.106886843,1.40029973,0
1.331635046,1.456555221,1
1.304608431,0.373382852,1
2.163797832,1.671067375,1
4.817808829,3.437521562,0
2.341806599,1.212637894,1
1.210110513,0.483330306,1
1.599295128,0.981905489,1
3.55318638,3.034654642,0
3.249668884,3.044197885,0
0.812134004,1.290924741,1
1.116947917,1.954109073,1
2.21083161,1.107696724,1
2.51780909,3.298616555,0
0.691037884,2.787772141,1
3.391028344,0.221743206,1
1.880098774,0.442326816,1
4.259738436,2.914117716,0
3.52680379,3.958756146,0
1.295012642,0.789962024,1
4.23781339,2.85143505,0
3.168201605,0.642544673,1
0.147006266,0.145297581,1
4.941537304,1.709790632,0
3.775109475,2.56274155,0
0.189544637,2.068501078,1
1.542023095,1.563730229,1
3.761189296,2.955234379,0
1.71023413,3.753579206,0
4.576343618,3.377580111,0
3.862015168,3.444350899,0
1.719224994,3.961269616,0
2.455563379,3.271281611,0
3.65054449,2.691730828,0
0.163084298,3.1447774,1
0.842774716,2.844872782,1
0.805891148,1.903222641,1
4.493528537,1.694768114,0
0.150960692,1.939658936,1
2.154885247,0.372187165,1
0.604077473,1.180519719,1
2.876327967,2.900377543,0
4.710124428,1.819373954,0
2.810138826,3.673900912,0
3.799733621,3.089584466,0
2.587163282,1.198258598,1
4.507087215,1.918571182,0
2.994481847,3.879484775,0
2.586577792,0.42728526,1
1.630847029,3.888051023,0
3.534098506,0.789692636,1
3.12335898,2.791367776,0
0.229733441,0.178080036,1
1.056616037,2.014919822,1
3.035918626,3.481889396,0
0.216566784,0.245022632,1
3.86248138,3.608988912,0
4.842438512,1.719758525,0
3.748349571,2.417098188,0
4.368210079,2.149765059,0
1.581435002,3.780271241,0
2.203465227,0.489463908,1
3.150916858,2.976823833,0
1.347274009,2.388769755,1
0.370711143,1.05995934,1
0.230119922,2.407166452,1
3.12430164,3.523797725,0
4.3569124,1.861373468,0
3.44199679,2.689616684,0
3.56533417,3.465658601,0
1.714362987,0.504130975,1
0.769186486,0.673769714,1
1.212719144,1.68164278,1
2.756288303,2.935403671,0
0.267751374,0.216604154,1
4.691249142,2.347597489,0
1.761685838,1.491175594,1
4.08934122,3.637413625,0
2.16009776,0.62802547,1
1.558410897,0.320812505,1
2.23308714,3.880315839,0
4.137799081,2.145374479,0
2.786046406,3.286589542,0
4.508213839,2.143023814,0
4.304438626,1.275929738,0
4.661052707,3.529028336,0
4.387671158,1.274166358,0
4.502125026,2.160205356,0
4.008105092,1.841786575,0
2.741780299,0.868277334,1
2.009487425,0.499180792,1
0.892122974,2.714072949,1
3.354642934,2.017364715,0
4.206493855,2.904820307,0
1.155015745,0.427271622,1
1.644426545,2.074279754,1
4.405364156,1.522183767,0
0.582400752,1.176151032,1
4.854466979,2.716731386,0
0.247513136,1.563111033,1
3.818913336,1.840175615,0
0.258386315,1.735762526,1
2.261667408,1.19921513,1
3.671866829,0.206382726,1
3.216558765,3.21797624,0
0.278380932,0.544031817,1
3.482589407,0.376299697,1
4.818378337,1.671865992,0
1.090739638,2.346817522,1
4.414156747,3.629568281,0
0.032871872,1.777892381,1
1.433626885,3.865209297,0
2.436237914,1.333514306,1
0.854436363,2.175135078,1
2.283397046,3.673201456,0
1.977214561,1.526107328,1
1.379087303,0.468364747,1
4.910523115,3.026100895,0
2.0997603,3.8795483,0
3.473310444,3.366108933,0
